"","car_specs","price","mileage","stringAsFactors"
"109","2024 Nissan Kicks S FWD","$24,690",NA,FALSE
"110","2024 Nissan Kicks S FWD","$24,690",NA,FALSE
"111","2024 Nissan Kicks S FWD","$24,690",NA,FALSE
"112","2024 Nissan Kicks S FWD","$24,690",NA,FALSE
"113","2024 Nissan Kicks S FWD","$24,690",NA,FALSE
"114","2024 BMW I4 Gran Coupe EDrive35 BMW SALES EVENT  LIMITED TIME OFFER","$70,147",NA,FALSE
"115","2024 Nissan Kicks S FWD","$24,690",NA,FALSE
"116","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"117","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"118","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"119","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"120","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"121","2024 Ford Bronco Sport BIG BEND | 4X4 | CONVENIENCE PKG | TOW PKG","$38,887",NA,FALSE
"122","2024 Dodge Hornet PHEV RT PLUS HYBRID, BLACKTOP, TRACK PK, TECH, 0% FIN","$46,599",NA,FALSE
"123","2024 Honda Accord Hybrid TOURING Navi | Leather | Bose Audio","$47,266",NA,FALSE
"124","2024 Chrysler Grand Caravan SXT V6","$47,992",NA,FALSE
"125","2024 Dodge Durango GT Plus AWD V6","$59,342",NA,FALSE
"126","2024 Dodge Hornet PHEV R/T | BLACKTOP PKG | TECH PACK PLUS |","$59,780",NA,FALSE
"127","2024 Jeep Wrangler 4xe Rubicon X Sky Roof LEDs 12.3'' Screen ALPINE Sound","$78,699",NA,FALSE
"128","2024 Ford Mustang Dark Horse","$84,805",NA,FALSE
"129","2024 Audi Q8 PROGRESSIV Leather Seats | Cameras | Smart Key | E","$95,887",NA,FALSE
"130","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"131","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $162 B/W S -","$24,728",NA,FALSE
"132","2024 Nissan Kicks S","$24,728",NA,FALSE
"133","2024 Nissan Kicks S","$24,728",NA,FALSE
"134","2024 Volkswagen Tiguan Comfortline 4MOTION","$44,822",NA,FALSE
"135","2024 Nissan Kicks S","$24,728",NA,FALSE
"136","2024 Nissan Kicks S","$24,728",NA,FALSE
"137","2024 Nissan Kicks S","$24,728",NA,FALSE
"138","2024 Nissan Versa SV  / In Stock!","$24,740",NA,FALSE
"139","2024 Hyundai Venue Essential w/Two-Tone","$24,824",NA,FALSE
"140","2024 Hyundai Venue Essential w/Two-Tone","$24,824",NA,FALSE
"141","2024 Nissan Versa SV/ In stock !","$24,890",NA,FALSE
"142","2024 Nissan Versa SV CVT","$24,933",NA,FALSE
"143","2024 Nissan Kicks S FWD","$24,940",NA,FALSE
"144","2024 Jeep Grand Cherokee Laredo - Sunroof/Luxury tech/18'S","$55,264",NA,FALSE
"145","2024 Nissan Kicks S FWD","$24,940",NA,FALSE
"146","2024 Nissan Kicks S FWD","$24,940",NA,FALSE
"147","2024 Nissan Kicks S FWD","$24,940",NA,FALSE
"148","2024 Hyundai Venue Preferred IVT","$24,949",NA,FALSE
"149","2024 Nissan Versa Note SV","$24,955",NA,FALSE
"150","2024 Nissan Versa Note SV","$24,955",NA,FALSE
"151","2024 Kia Forte EX | Most Popular Model | 427/QEW Kia","$24,995",NA,FALSE
"152","2024 Kia Forte EX Premium","$24,999",NA,FALSE
"153","2024 Mitsubishi Mirage GT","$25,028",NA,FALSE
"154","2024 BMW 2 series Coupe M240i xDrive Premium Enhanced Package |Glass Sunro","$75,056",NA,FALSE
"155","2024 Nissan Versa SV CVT","$25,048",NA,FALSE
"156","2024 Nissan Versa","$25,054",NA,FALSE
"157","2024 Nissan Versa SV","$25,098",NA,FALSE
"158","2024 Nissan Versa SV","$25,103",NA,FALSE
"159","2024 Nissan Kicks S FWD","$25,128",NA,FALSE
"160","2024 Nissan Kicks","$25,134",NA,FALSE
"161","2024 Nissan Kicks","$25,134",NA,FALSE
"162","2024 Nissan Kicks","$25,134",NA,FALSE
"163","2024 Nissan Kicks","$25,134",NA,FALSE
"164","2024 BMW X2 XDrive28i Premium Enhanced Package I High-Gloss Bl","$59,441",NA,FALSE
"165","2024 Hyundai Venue Preferred","$25,150",NA,FALSE
"166","2024 Hyundai Venue Preferred","$25,150",NA,FALSE
"167","2024 Nissan Kicks S FWD","$25,150",NA,FALSE
"168","2024 Hyundai Venue Preferred IVT","$25,199",NA,FALSE
"169","2024 Hyundai Venue Preferred","$25,199",NA,FALSE
"170","2024 Nissan Versa Note SV","$25,205",NA,FALSE
"171","2024 Nissan Kicks S/ In stock !","$25,220",NA,FALSE
"172","2024 Hyundai Elantra Preferred IVT","$25,231",NA,FALSE
"173","2024 Nissan Versa SV Ready for Delivery","$25,234",NA,FALSE
"174","2024 Jeep Grand Cherokee Altitude 4x4","$59,481",NA,FALSE
"175","2024 Nissan Kicks S","$25,285",NA,FALSE
"176","2024 Hyundai Venue Essential","$25,322",NA,FALSE
"177","2024 Nissan Versa SV","$25,353",NA,FALSE
"178","2024 Nissan Kicks S FWD","$25,378",NA,FALSE
"179","2024 Nissan Kicks","$25,384",NA,FALSE
"180","2024 Nissan Kicks","$25,384",NA,FALSE
"181","2024 Nissan Kicks","$25,384",NA,FALSE
"182","2024 Nissan Kicks","$25,384",NA,FALSE
"183","2024 Nissan Kicks","$25,384",NA,FALSE
"184","2024 BMW X1 XDrive28i Sport Seats | Premium Enhanced Package |","$59,541",NA,FALSE
"185","2024 Nissan Kicks","$25,384",NA,FALSE
"186","2024 Nissan Kicks","$25,384",NA,FALSE
"187","2024 Nissan Kicks","$25,384",NA,FALSE
"188","2024 Nissan Kicks","$25,384",NA,FALSE
"189","2024 Nissan Kicks","$25,384",NA,FALSE
"190","2024 Nissan Kicks","$25,384",NA,FALSE
"191","2024 Nissan Kicks","$25,384",NA,FALSE
"192","2024 Nissan Kicks","$25,384",NA,FALSE
"193","2024 Nissan Kicks S","$25,385",NA,FALSE
"194","2024 BMW M8 Coupe Competition BMW SALES EVENT  LIMITED TIME OFFER","$195,627",NA,FALSE
"195","2024 Nissan Kicks S","$25,433",NA,FALSE
